Date,Exercise,Type,Exercise Calories,Exercise Minutes,Sets,Reps Per Set,Pounds,Steps,Note
2013-09-03,Walking to Work,Cardio,200.0,30,,,,,
2013-09-03,"Walking, 2.0 mph, slow pace",Cardio,330.0,285,,,,,
2013-09-04,"Walking, 2.0 mph, slow pace",Cardio,283.0,68,,,,,
2013-09-25,Elliptical Trainer,Cardio,157.0,15,,,,,
2013-09-25,"Stair-treadmill ergometer, general",Cardio,104.0,10,,,,,
2016-05-11,Brazilian Jiu Jitsu,Cardio,710.0,60,,,,,
2016-05-11,"Deadlift, Straight Leg",Strength,,,1,3,135.0,,
2016-07-06,Brazilian Jiu Jitsu,Cardio,685.0,60,,,,,
2016-07-07,"Soccer, casual, general",Cardio,471.0,60,,,,,
2017-04-25,"Running (jogging), 5 mph (12 min mile)",Cardio,52.0,6,,,,,
