Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,Note
2013-09-03,Breakfast,179.0,3.4,2.1,0.1,1.0,0.0,11.1,77.3,289.0,21.3,0.0,19.0,14.9,4.1,2.4,23.2,0.1,
2013-09-03,Lunch,427.6,17.1,6.3,0.7,8.8,0.0,85.4,268.6,1105.8,24.5,8.1,12.7,40.5,620.6,55.5,10.7,39.6,
2013-09-03,Dinner,730.0,29.7,10.1,0.8,11.8,0.0,130.9,414.1,1077.3,53.0,3.9,23.0,60.5,4.0,51.0,40.0,35.4,
2013-09-03,Snacks,160.0,7.0,2.0,0.0,0.0,0.0,0.0,150.0,0.0,23.0,2.0,13.0,3.0,0.0,0.0,0.0,0.0,
2013-09-04,Breakfast,179.0,3.4,2.1,0.1,1.0,0.0,11.1,77.3,289.0,21.3,0.0,19.0,14.9,4.1,2.4,23.2,0.1,
2013-09-04,Lunch,395.8,22.0,7.5,1.7,10.8,0.0,286.1,207.4,576.5,4.6,0.2,0.8,41.6,6.7,0.0,4.1,29.0,
2013-09-04,Dinner,350.0,10.0,2.0,0.0,0.0,0.0,10.0,320.0,0.0,54.0,6.0,1.0,12.0,0.0,0.0,0.0,0.0,
2013-09-04,Snacks,100.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,3.0,0.0,0.0,2.0,2.0,
2013-09-25,Breakfast,225.0,7.2,2.0,0.1,0.0,0.0,0.0,151.3,133.8,40.3,5.0,26.0,3.3,1.4,9.6,0.8,0.8,
2013-09-25,Lunch,458.7,28.5,8.9,3.7,13.1,0.0,516.2,2378.4,617.4,7.2,2.2,0.8,40.4,13.4,11.2,9.4,19.6,
2013-09-26,Breakfast,65.0,0.2,0.0,0.1,0.0,0.0,0.0,1.3,133.8,17.3,3.0,13.0,0.3,1.4,9.6,0.8,0.8,
2013-09-30,Breakfast,324.6,18.6,6.3,2.9,8.9,0.0,453.8,1590.5,461.4,4.3,1.5,0.0,30.6,20.0,7.5,6.7,18.3,
2013-10-18,Breakfast,125.0,9.5,4.0,0.7,3.3,0.0,197.5,155.0,80.0,0.5,0.0,0.0,9.5,9.0,0.0,12.0,4.0,
2013-10-18,Lunch,507.4,28.7,11.8,0.1,0.7,0.0,84.5,919.4,63.4,28.1,4.4,14.6,27.5,19.4,435.0,37.4,9.8,
2013-10-18,Snacks,100.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,3.0,0.0,0.0,2.0,2.0,
2013-10-21,Breakfast,216.3,14.3,5.6,1.1,5.7,0.0,229.4,885.2,240.7,2.6,0.7,0.0,18.8,9.0,3.7,13.3,7.2,
2013-10-22,Breakfast,210.0,10.0,6.0,0.0,0.0,0.0,35.0,295.0,40.0,25.0,5.0,4.0,7.0,6.0,0.0,6.0,8.0,
2016-04-24,Breakfast,339.0,29.4,16.6,0.8,3.0,0.0,256.1,287.3,109.0,9.3,0.0,8.0,8.9,18.1,0.4,5.2,4.1,
2016-04-24,Lunch,437.5,33.0,10.0,8.0,3.0,0.0,76.0,438.0,184.0,7.5,0.5,3.5,16.0,1.0,1.0,0.0,9.0,
2016-05-09,Breakfast,326.8,26.8,16.2,1.7,6.3,0.0,391.7,102.8,166.5,3.2,0.0,0.1,11.0,15.1,0.8,10.6,6.8,
2016-05-09,Lunch,460.0,36.0,14.0,0.0,0.0,3.0,0.0,0.0,0.0,10.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,
2016-05-09,Dinner,128.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,6.9,0.0,0.0,0.0,0.0,
