date,weight
2016-03-27,165.6
2016-05-10,155.7
2016-05-11,155.0
2016-05-27,157.0
2016-06-21,152.4
2016-07-05,150.8
2016-07-06,149.6
2016-07-07,148.6
2016-07-12,151.2
2016-07-18,149.6
2016-07-20,148.6
2016-07-27,147.2
2016-08-01,146.8
2016-08-02,147.4
2016-08-04,147.2
2016-08-18,152.2
2016-08-19,150.0
2016-08-20,148.4
2016-08-22,147.8
2016-08-23,146.4
2016-08-24,145.0
2016-08-25,146.4
2016-08-28,145.2
2016-08-29,145.6
2016-08-31,144.4
2016-09-16,144.2
2016-09-20,143.8
2016-09-25,144.4
2016-09-30,144.6
2016-10-08,146.0
2016-10-09,145.0
2016-10-10,144.6
2016-10-15,145.0
2016-10-23,145.0
2016-10-30,147.0
2016-11-01,146.2
2016-11-04,144.6
2016-11-08,144.0
2016-11-10,142.8
2016-11-12,143.8
2016-11-15,142.8
2016-11-24,144.4
2016-12-06,142.6
2016-12-07,144.4
2016-12-08,143.0
2016-12-09,140.8
2016-12-10,143.0
2016-12-12,142.4
2016-12-13,142.8
2016-12-14,141.0
2016-12-22,142.2
2016-12-23,141.4
2017-01-15,147.0
2017-01-16,142.8
2017-01-17,144.6
2017-01-18,142.6
2017-01-23,143.0
2017-01-25,142.8
2017-01-31,141.6
2017-02-01,141.8
2017-02-02,144.2
2017-02-03,143.2
2017-02-06,142.6
2017-02-07,142.6
2017-02-08,141.4
2017-02-10,141.8
2017-02-15,143.0
2017-02-16,141.6
2017-02-19,140.8
2017-02-27,142.4
2017-02-28,140.8
2017-03-02,140.4
2017-03-06,142.6
2017-03-07,141.8
2017-03-10,141.4
2017-03-29,140.8
2017-04-04,140.8
2017-04-19,144.4
2017-04-25,145.0
2017-04-26,144.8
2017-04-27,144.0
2017-04-28,142.2
2017-04-29,142.2
2017-04-30,143.8
2017-05-01,144.0
2017-05-02,142.4
2017-05-03,143.6
2017-05-04,142.6
2017-05-05,141.8
2017-05-06,142.6
2017-05-07,141.0
2017-05-08,141.6
2017-05-09,141.8
2017-05-10,141.6
2017-05-11,141.0
2017-05-13,142.8
2017-05-15,140.8
2017-05-17,141.0
2017-05-18,138.6
2017-05-27,144.0
2017-05-31,143.6
2017-06-01,142.0
2017-07-10,146.2
2017-07-11,143.8
2017-07-12,143.0
2017-07-14,142.6
2017-09-07,142.6
2017-09-19,146.8
2017-09-20,145.2
2017-10-06,144.8
2017-10-07,144.2
2017-11-16,145.0
2017-11-21,145.0
2017-12-14,143.2
2018-01-05,144.2
2018-01-18,142.0
2018-01-31,141.8
2018-02-01,139.7
2018-02-03,139.8
2018-02-28,142.8
2018-03-08,140.2
2018-03-22,142.6
2018-03-29,145.6
2018-04-01,142.0
2018-04-02,141.6
2018-04-03,142.6
2018-04-04,142.2
2018-04-05,143.2
2018-04-06,143.6
2018-04-09,142.8
2018-04-10,140.8
2018-04-11,141.0
2018-04-13,140.2
2018-04-14,141.6
2018-04-15,142.2
2018-04-16,141.6
2018-04-17,141.6
2018-04-18,142.8
2018-04-23,142.0
2018-04-24,140.6
2018-05-05,143.6
2018-05-08,143.0
2018-05-10,142.4
2018-06-25,148.8
2018-06-26,148.6
2018-06-27,146.0
2018-06-28,146.6
2018-06-29,145.8
2018-06-30,144.8
2018-07-02,146.0
2018-07-03,144.6
2018-07-05,146.2
2018-07-06,145.6
2018-07-19,143.8
